"type"	"occupation"	"w_number_of_workers"	"w_median_weekly_earnings"	"m_number_of_workers"	"m_median_weekly_earnings"	"t_number_of_workers"	"t_median_weekly_earnings"	"is_pay_gap"	"cents_on_the_dollar"	"pay_gap_weekly"	"pay_gap_yearly"	"year"
"Management, professional, and related"	"Medical records and health information technicians"	72	595	6		78	612					2013
"Management, professional, and related"	"Opticians, dispensing"	25		13		37						2013
"Management, professional, and related"	"Miscellaneous health technologists and technicians"	73	782	41		114	849					2013
"Management, professional, and related"	"Other healthcare practitioners and technical occupations"	31		37		69	1065					2013
"Service"	"Nursing, psychiatric, and home health aides"	1207	450	186	499	1393	457	"y"	90	49	2548	2013
"Service"	"Occupational therapy assistants and aides"	11		0		11						2013
"Service"	"Physical therapist assistants and aides"	26		13		39						2013
"Service"	"Massage therapists"	32		15		48						2013
"Service"	"Dental assistants"	174	571	7		181	571					2013
"Service"	"Medical assistants"	339	523	26		365	531					2013
"Service"	"Medical transcriptionists"	33		1		34						2013
"Service"	"Pharmacy aides"	19		3		22						2013
"Service"	"Veterinary assistants and laboratory animal caretakers"	20		3		23						2013
"Service"	"Phlebotomists"	77	573	19		97	583					2013
"Service"	"Miscellaneous healthcare support occupations, including medical equipment preparers"	81	440	31		112	462					2013
"Service"	"First-line supervisors of correctional officers"	5		28		33						2013
"Service"	"First-line supervisors of police and detectives"	17		97	1182	114	1139					2013
"Service"	"First-line supervisors of fire fighting and prevention workers"	0		60	1082	60	1082					2013
"Service"	"First-line supervisors of protective service workers, all other"	25		57	788	82	785					2013
"Service"	"Firefighters"	9		285	1000	294	996					2013
"Service"	"Fire inspectors"	1		17		18						2013
"Service"	"Bailiffs, correctional officers, and jailers"	120	599	298	729	418	683	"y"	82	130	6760	2013
"Service"	"Detectives and criminal investigators"	30		128	1120	159	1054					2013
"Service"	"Fish and game wardens"	1		1		2						2013
"Service"	"Parking enforcement workers"	2		4		5						2013
"Service"	"Police and sheriff's patrol officers"	89	881	593	1032	682	1007	"y"	85	151	7852	2013
"Service"	"Transit and railroad police"	0		2		2						2013
"Service"	"Animal control workers"	4		6		10						2013
"Service"	"Private detectives and investigators"	32		40		72	948					2013
"Service"	"Security guards and gaming surveillance officers"	125	500	517	549	643	532	"y"	91	49	2548	2013
"Service"	"Crossing guards"	7		7		14						2013
"Service"	"Transportation security screeners"	10		16		25						2013
"Service"	"Lifeguards and other recreational, and all other protective service workers"	36		16		52	484					2013
"Service"	"Chefs and head cooks"	69	510	282	589	351	574	"y"	86	79	4108	2013
"Service"	"First-line supervisors of food preparation and serving workers"	249	448	174	580	423	491	"y"	77	132	6864	2013
"Service"	"Cooks"	418	382	791	411	1209	402	"y"	92	29	1508	2013
"Service"	"Food preparation workers"	191	380	206	392	398	387	"y"	96	12	624	2013
"Service"	"Bartenders"	109	483	98	594	207	513	"y"	81	111	5772	2013
"Service"	"Combined food preparation and serving workers, including fast food"	107	370	68	413	175	384	"y"	89	43	2236	2013
"Service"	"Counter attendants, cafeteria, food concession, and coffee shop"	43		14		57	320					2013
"Service"	"Waiters and waitresses"	558	400	325	449	883	413	"y"	89	49	2548	2013
"Service"	"Food servers, nonrestaurant"	74	410	36		109	458					2013
"Service"	"Dining room and cafeteria attendants and bartender helpers"	55	398	76	426	130	412	"y"	93	28	1456	2013
"Service"	"Dishwashers"	21		106	359	127	356					2013
"Service"	"Hosts and hostesses, restaurant, lounge, and coffee shop"	60	391	9		69	393					2013
"Service"	"Food preparation and serving related workers, all other"	0		1		1						2013
"Service"	"First-line supervisors of housekeeping and janitorial workers"	78	511	108	801	186	638	"y"	63	290	15080	2013
"Service"	"First-line supervisors of landscaping, lawn service, and groundskeeping workers"	5		99	759	104	766					2013
"Service"	"Janitors and building cleaners"	421	418	1116	517	1537	487	"y"	80	99	5148	2013
"Service"	"Maids and housekeeping cleaners"	605	406	128	467	733	413	"y"	86	61	3172	2013
"Service"	"Pest control workers"	2		60	606	62	609					2013
"Service"	"Grounds maintenance workers"	31		768	441	799	445					2013
"Service"	"First-line supervisors of gaming workers"	48		49		97	755					2013
"Service"	"First-line supervisors of personal service workers"	44		28		72	595					2013
"Service"	"Animal trainers"	5		3		8						2013
"Service"	"Nonfarm animal caretakers"	57	468	22		78	458					2013
"Service"	"Gaming services workers"	39		35		74	651					2013
"Service"	"Motion picture projectionists"	2		1		3						2013
"Service"	"Ushers, lobby attendants, and ticket takers"	5		4		9						2013
"Service"	"Miscellaneous entertainment attendants and related workers"	37		37		74	419					2013
"Service"	"Embalmers and funeral attendants"	6		5		10						2013
"Service"	"Morticians, undertakers, and funeral directors"	7		21		28						2013
"Service"	"Barbers"	9		51	369	60	389					2013
"Service"	"Hairdressers, hairstylists, and cosmetologists"	308	485	21		329	488					2013
"Service"	"Miscellaneous personal appearance workers"	136	480	34		170	495					2013
"Service"	"Baggage porters, bellhops, and concierges"	10		60	495	71	491					2013
"Service"	"Tour and travel guides"	13		8		21						2013
"Service"	"Childcare workers"	410	418	31		441	418					2013
"Service"	"Personal care aides"	539	445	119	470	657	449	"y"	94	25	1300	2013
"Service"	"Recreation and fitness workers"	123	523	90	561	213	538	"y"	93	38	1976	2013
"Service"	"Residential advisors"	18		13		32						2013
"Service"	"Personal care and service workers, all other"	13		22		36						2013
"Sales and office"	"First-line supervisors of retail sales workers"	981	612	1338	778	2320	709	"y"	78	166	8632	2013
"Sales and office"	"First-line supervisors of non-retail sales workers"	217	934	540	1004	757	980	"y"	93	70	3640	2013
"Sales and office"	"Cashiers"	932	379	418	426	1350	392	"y"	88	47	2444	2013
"Sales and office"	"Counter and rental clerks"	24		35		58	612					2013
"Sales and office"	"Parts salespersons"	8		75	665	83	663					2013
"Sales and office"	"Retail salespersons"	737	485	1092	719	1829	598	"y"	67	234	12168	2013
"Sales and office"	"Advertising sales agents"	96	868	110	1005	207	938	"y"	86	137	7124	2013
"Sales and office"	"Insurance sales agents"	216	733	216	1029	431	838	"y"	71	296	15392	2013
"Sales and office"	"Securities, commodities, and financial services sales agents"	75	863	145	1389	219	1119	"y"	62	526	27352	2013
"Sales and office"	"Travel agents"	32		10		42						2013
"Sales and office"	"Sales representatives, services, all other"	106	766	242	1013	348	948	"y"	75	247	12844	2013
"Sales and office"	"Sales representatives, wholesale and manufacturing"	247	859	838	1131	1085	1042	"y"	75	272	14144	2013
"Sales and office"	"Models, demonstrators, and product promoters"	13		11		24						2013
"Sales and office"	"Real estate brokers and sales agents"	209	756	148	928	357	809	"y"	81	172	8944	2013
"Sales and office"	"Sales engineers"	4		29		33						2013
"Sales and office"	"Telemarketers"	32		18		49						2013
"Sales and office"	"Door-to-door sales workers, news and street vendors, and related workers"	11		23		34						2013
"Sales and office"	"Sales and related workers, all other"	65	724	85	1161	150	915	"y"	62	437	22724	2013
"Sales and office"	"First-line supervisors of office and administrative support workers"	828	748	395	846	1224	772	"y"	88	98	5096	2013
"Sales and office"	"Switchboard operators, including answering service"	16		6		22						2013
"Sales and office"	"Telephone operators"	17		3		20						2013
"Sales and office"	"Communications equipment operators, all other"	2		0		2						2013
"Sales and office"	"Bill and account collectors"	111	586	45		156	599					2013
"Sales and office"	"Billing and posting clerks"	380	629	42		422	637					2013
"Sales and office"	"Bookkeeping, accounting, and auditing clerks"	702	670	102	751	804	677	"y"	89	81	4212	2013
"Sales and office"	"Gaming cage workers"	6		6		12						2013
"Sales and office"	"Payroll and timekeeping clerks"	118	727	9		128	731					2013
"Sales and office"	"Procurement clerks"	18		12		30						2013
"Sales and office"	"Tellers"	229	494	36		265	494					2013
"Sales and office"	"Financial clerks, all other"	34		20		54	686					2013
"Sales and office"	"Brokerage clerks"	1		1		2						2013
"Sales and office"	"Correspondence clerks"	7		4		12						2013
"Sales and office"	"Court, municipal, and license clerks"	53	665	21		74	676					2013
"Sales and office"	"Credit authorizers, checkers, and clerks"	30		10		40						2013
"Sales and office"	"Customer service representatives"	1068	616	547	639	1615	621	"y"	96	23	1196	2013
"Sales and office"	"Eligibility interviewers, government programs"	60	746	15		75	778					2013
"Sales and office"	"File clerks"	140	604	42		182	625					2013
"Sales and office"	"Hotel, motel, and resort desk clerks"	50	417	21		71	418					2013
"Sales and office"	"Interviewers, except eligibility and loan"	89	605	21		110	621					2013
"Sales and office"	"Library assistants, clerical"	42		8		50	559					2013
"Sales and office"	"Loan interviewers and clerks"	129	688	29		158	719					2013
"Sales and office"	"New accounts clerks"	26		3		29						2013
"Sales and office"	"Order clerks"	42		37		79	583					2013
"Sales and office"	"Human resources assistants, except payroll and timekeeping"	103	873	26		129	877					2013
"Sales and office"	"Receptionists and information clerks"	828	527	73	600	901	536	"y"	87	73	3796	2013
"Sales and office"	"Reservation and transportation ticket agents and travel clerks"	54	620	46		100	699					2013
"Sales and office"	"Information and record clerks, all other"	62	727	23		85	710					2013
"Sales and office"	"Cargo and freight agents"	9		17		26						2013
"Sales and office"	"Couriers and messengers"	16		112	616	127	624					2013
"Sales and office"	"Dispatchers"	140	617	107	747	246	676	"y"	82	130	6760	2013
"Sales and office"	"Meter readers, utilities"	6		19		24						2013
"Sales and office"	"Postal service clerks"	45		45		90	968					2013
"Sales and office"	"Postal service mail carriers"	101	878	176	1012	277	964	"y"	86	134	6968	2013
"Sales and office"	"Postal service mail sorters, processors, and processing machine operators"	35		35		70	873					2013
"Sales and office"	"Production, planning, and expediting clerks"	148	690	124	864	272	745	"y"	79	174	9048	2013
"Sales and office"	"Shipping, receiving, and traffic clerks"	151	524	342	547	493	539	"y"	95	23	1196	2013
"Sales and office"	"Stock clerks and order fillers"	321	484	596	503	918	496	"y"	96	19	988	2013
"Sales and office"	"Weighers, measurers, checkers, and samplers, recordkeeping"	37		37		74	624					2013
"Sales and office"	"Secretaries and administrative assistants"	2113	677	120	772	2232	681	"y"	87	95	4940	2013
"Sales and office"	"Computer operators"	39		41		80	732					2013
"Sales and office"	"Data entry keyers"	189	632	46		235	634					2013
"Sales and office"	"Word processors and typists"	82	607	8		90	621					2013
"Sales and office"	"Desktop publishers"	0		0		0						2013
"Sales and office"	"Insurance claims and policy processing clerks"	206	631	46		252	652					2013
"Sales and office"	"Mail clerks and mail machine operators, except postal service"	22		26		48						2013
"Sales and office"	"Office clerks, general"	734	596	118	620	852	598	"y"	96	24	1248	2013
"Sales and office"	"Office machine operators, except computer"	21		14		35						2013
"Sales and office"	"Proofreaders and copy markers"	3		0		3						2013
"Sales and office"	"Statistical assistants"	10		8		18						2013
"Sales and office"	"Office and administrative support workers, all other"	331	695	100	795	431	724	"y"	87	100	5200	2013
"Natural resources, construction, and maintenance"	"First-line supervisors of farming, fishing, and forestry workers"	8		25		34						2013
"Natural resources, construction, and maintenance"	"Agricultural inspectors"	3		8		11						2013
"Natural resources, construction, and maintenance"	"Animal breeders"	0		1		1						2013
"Natural resources, construction, and maintenance"	"Graders and sorters, agricultural products"	57	389	34		91	416					2013
"Natural resources, construction, and maintenance"	"Miscellaneous agricultural workers"	71	352	445	447	516	428	"y"	78	95	4940	2013
"Natural resources, construction, and maintenance"	"Fishers and related fishing workers"	2		15		16						2013
"Natural resources, construction, and maintenance"	"Hunters and trappers"	0		0		0						2013
"Natural resources, construction, and maintenance"	"Forest and conservation workers"	1		10		11						2013
"Natural resources, construction, and maintenance"	"Logging workers"	1		37		39						2013
"Natural resources, construction, and maintenance"	"First-line supervisors of construction trades and extraction workers"	8		501	996	509	990					2013
"Natural resources, construction, and maintenance"	"Boilermakers"	0		14		14						2013
"Natural resources, construction, and maintenance"	"Brickmasons, blockmasons, and stonemasons"	0		106	766	106	768					2013
"Natural resources, construction, and maintenance"	"Carpenters"	10		703	659	712	657					2013
"Natural resources, construction, and maintenance"	"Carpet, floor, and tile installers and finishers"	2		78	579	80	582					2013
"Natural resources, construction, and maintenance"	"Cement masons, concrete finishers, and terrazzo workers"	0		46		46						2013
"Natural resources, construction, and maintenance"	"Construction laborers"	29		1058	592	1087	594					2013
"Natural resources, construction, and maintenance"	"Paving, surfacing, and tamping equipment operators"	1		18		18						2013
"Natural resources, construction, and maintenance"	"Pile-driver operators"	0		1		1						2013
"Natural resources, construction, and maintenance"	"Operating engineers and other construction equipment operators"	4		317	804	322	801					2013
"Natural resources, construction, and maintenance"	"Drywall installers, ceiling tile installers, and tapers"	0		81	522	81	521					2013
"Natural resources, construction, and maintenance"	"Electricians"	11		630	952	641	949					2013
"Natural resources, construction, and maintenance"	"Glaziers"	0		31		31						2013
"Natural resources, construction, and maintenance"	"Insulation workers"	2		42		44						2013
"Natural resources, construction, and maintenance"	"Painters, construction and maintenance"	14		318	579	331	576					2013
"Natural resources, construction, and maintenance"	"Paperhangers"	0		0		0						2013
"Natural resources, construction, and maintenance"	"Pipelayers, plumbers, pipefitters, and steamfitters"	4		447	912	450	909					2013
"Natural resources, construction, and maintenance"	"Plasterers and stucco masons"	0		24		24						2013
"Natural resources, construction, and maintenance"	"Reinforcing iron and rebar workers"	0		8		8						2013
"Natural resources, construction, and maintenance"	"Roofers"	0		133	566	133	566					2013
"Natural resources, construction, and maintenance"	"Sheet metal workers"	7		93	797	100	789					2013
"Natural resources, construction, and maintenance"	"Structural iron and steel workers"	0		38		38						2013
"Natural resources, construction, and maintenance"	"Solar photovoltaic installers"	0		5		6						2013
"Natural resources, construction, and maintenance"	"Helpers, construction trades"	2		44		46						2013
"Natural resources, construction, and maintenance"	"Construction and building inspectors"	5		67	920	73	903					2013
"Natural resources, construction, and maintenance"	"Elevator installers and repairers"	0		25		25						2013
"Natural resources, construction, and maintenance"	"Fence erectors"	0		24		24						2013
"Natural resources, construction, and maintenance"	"Hazardous materials removal workers"	8		20		28						2013
"Natural resources, construction, and maintenance"	"Highway maintenance workers"	0		95	709	95	709					2013
"Natural resources, construction, and maintenance"	"Rail-track laying and maintenance equipment operators"	0		16		16						2013
"Natural resources, construction, and maintenance"	"Septic tank servicers and sewer pipe cleaners"	0		7		7						2013
"Natural resources, construction, and maintenance"	"Miscellaneous construction and related workers"	0		21		21						2013
"Natural resources, construction, and maintenance"	"Derrick, rotary drill, and service unit operators, oil, gas, and mining"	0		38		38						2013
"Natural resources, construction, and maintenance"	"Earth drillers, except oil and gas"	0		26		26						2013
"Natural resources, construction, and maintenance"	"Explosives workers, ordnance handling experts, and blasters"	0		8		8						2013
"Natural resources, construction, and maintenance"	"Mining machine operators"	2		58	1084	60	1014					2013
"Natural resources, construction, and maintenance"	"Roof bolters, mining"	0		2		2						2013
"Natural resources, construction, and maintenance"	"Roustabouts, oil and gas"	0		12		12						2013
"Natural resources, construction, and maintenance"	"Helpers--extraction workers"	0		3		3						2013
"Natural resources, construction, and maintenance"	"Other extraction workers"	3		83	909	86	920					2013
"Natural resources, construction, and maintenance"	"First-line supervisors of mechanics, installers, and repairers"	29		229	990	258	980					2013
"Natural resources, construction, and maintenance"	"Computer, automated teller, and office machine repairers"	29		211	894	240	875					2013
"Natural resources, construction, and maintenance"	"Radio and telecommunications equipment installers and repairers"	13		108	1021	122	1025					2013
"Natural resources, construction, and maintenance"	"Avionics technicians"	4		6		10						2013
"Natural resources, construction, and maintenance"	"Electric motor, power tool, and related repairers"	1		23		24						2013
"Natural resources, construction, and maintenance"	"Electrical and electronics installers and repairers, transportation equipment"	0		6		6						2013
"Natural resources, construction, and maintenance"	"Electrical and electronics repairers, industrial and utility"	1		12		13						2013
"Natural resources, construction, and maintenance"	"Electronic equipment installers and repairers, motor vehicles"	2		22		24						2013
"Natural resources, construction, and maintenance"	"Electronic home entertainment equipment installers and repairers"	1		41		42						2013
"Natural resources, construction, and maintenance"	"Security and fire alarm systems installers"	2		58	780	60	780					2013
"Natural resources, construction, and maintenance"	"Aircraft mechanics and service technicians"	3		152	974	155	978					2013
"Natural resources, construction, and maintenance"	"Automotive body and related repairers"	1		123	688	124	687					2013
"Natural resources, construction, and maintenance"	"Automotive glass installers and repairers"	0		20		20						2013
"Natural resources, construction, and maintenance"	"Automotive service technicians and mechanics"	13		659	714	672	713					2013
"Natural resources, construction, and maintenance"	"Bus and truck mechanics and diesel engine specialists"	0		301	795	302	794					2013
"Natural resources, construction, and maintenance"	"Heavy vehicle and mobile equipment service technicians and mechanics"	1		195	868	196	867					2013
"Natural resources, construction, and maintenance"	"Small engine mechanics"	1		31		32						2013
"Natural resources, construction, and maintenance"	"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"	2		72	480	74	468					2013
"Natural resources, construction, and maintenance"	"Control and valve installers and repairers"	2		22		24						2013
"Natural resources, construction, and maintenance"	"Heating, air conditioning, and refrigeration mechanics and installers"	3		313	791	316	792					2013
"Natural resources, construction, and maintenance"	"Home appliance repairers"	0		38		38						2013
"Natural resources, construction, and maintenance"	"Industrial and refractory machinery mechanics"	20		414	899	434	896					2013
"Natural resources, construction, and maintenance"	"Maintenance and repair workers, general"	18		386	807	405	805					2013
"Natural resources, construction, and maintenance"	"Maintenance workers, machinery"	3		30		33						2013
"Natural resources, construction, and maintenance"	"Millwrights"	1		61	1025	62	1019					2013
"Natural resources, construction, and maintenance"	"Electrical power-line installers and repairers"	1		112	929	113	922					2013
"Natural resources, construction, and maintenance"	"Telecommunications line installers and repairers"	6		172	929	177	930					2013
"Natural resources, construction, and maintenance"	"Precision instrument and equipment repairers"	7		51	956	58	951					2013
"Natural resources, construction, and maintenance"	"Wind turbine service technicians"	2		1		3						2013
"Natural resources, construction, and maintenance"	"Coin, vending, and amusement machine servicers and repairers"	4		28		32						2013
"Natural resources, construction, and maintenance"	"Commercial divers"	0		1		2						2013
"Natural resources, construction, and maintenance"	"Locksmiths and safe repairers"	0		16		17						2013
"Natural resources, construction, and maintenance"	"Manufactured building and mobile home installers"	0		10		10						2013
"Natural resources, construction, and maintenance"	"Riggers"	0		13		13						2013
"Natural resources, construction, and maintenance"	"Signal and track switch repairers"	0		5		5						2013
"Natural resources, construction, and maintenance"	"Helpers--installation, maintenance, and repair workers"	3		15		18						2013
"Natural resources, construction, and maintenance"	"Other installation, maintenance, and repair workers"	6		129	674	135	667					2013
"Production, transportation, and material moving"	"First-line supervisors of production and operating workers"	125	682	550	952	675	902	"y"	71	270	14040	2013
"Production, transportation, and material moving"	"Aircraft structure, surfaces, rigging, and systems assemblers"	3		13		16						2013
"Production, transportation, and material moving"	"Electrical, electronics, and electromechanical assemblers"	61	490	64	522	126	503	"y"	93	32	1664	2013
"Production, transportation, and material moving"	"Engine and other machine assemblers"	2		17		19						2013
"Production, transportation, and material moving"	"Structural metal fabricators and fitters"	0		21		21						2013
"Production, transportation, and material moving"	"Miscellaneous assemblers and fabricators"	335	493	566	610	900	564	"y"	80	117	6084	2013
"Production, transportation, and material moving"	"Bakers"	61	524	56	488	117	505	"n"	107	-36	-1872	2013
"Production, transportation, and material moving"	"Butchers and other meat, poultry, and fish processing workers"	73	476	211	525	284	506	"y"	90	49	2548	2013
"Production, transportation, and material moving"	"Food and tobacco roasting, baking, and drying machine operators and tenders"	2		4		6						2013
"Production, transportation, and material moving"	"Food batchmakers"	33		33		66	516					2013
"Production, transportation, and material moving"	"Food cooking machine operators and tenders"	3		3		6						2013
"Production, transportation, and material moving"	"Food processing workers, all other"	35		78	635	113	571					2013
"Production, transportation, and material moving"	"Computer control programmers and operators"	2		66	859	69	849					2013
"Production, transportation, and material moving"	"Extruding and drawing machine setters, operators, and tenders, metal and plastic"	2		14		16						2013
"Production, transportation, and material moving"	"Forging machine setters, operators, and tenders, metal and plastic"	0		9		9						2013
"Production, transportation, and material moving"	"Rolling machine setters, operators, and tenders, metal and plastic"	0		3		3						2013
"Production, transportation, and material moving"	"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"	10		60	532	70	545					2013
"Production, transportation, and material moving"	"Drilling and boring machine tool setters, operators, and tenders, metal and plastic"	0		1		1						2013
"Production, transportation, and material moving"	"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic"	6		44		50	610					2013
"Production, transportation, and material moving"	"Lathe and turning machine tool setters, operators, and tenders, metal and plastic"	3		8		11						2013
"Production, transportation, and material moving"	"Milling and planing machine setters, operators, and tenders, metal and plastic"	0		5		5						2013
"Production, transportation, and material moving"	"Machinists"	21		367	795	388	777					2013
"Production, transportation, and material moving"	"Metal furnace operators, tenders, pourers, and casters"	0		23		23						2013
"Production, transportation, and material moving"	"Model makers and patternmakers, metal and plastic"	1		2		3						2013
"Production, transportation, and material moving"	"Molders and molding machine setters, operators, and tenders, metal and plastic"	13		38		51	717					2013
"Production, transportation, and material moving"	"Multiple machine tool setters, operators, and tenders, metal and plastic"	1		3		4						2013
"Production, transportation, and material moving"	"Tool and die makers"	1		55	911	55	908					2013
"Production, transportation, and material moving"	"Welding, soldering, and brazing workers"	25		499	730	524	723					2013
"Production, transportation, and material moving"	"Heat treating equipment setters, operators, and tenders, metal and plastic"	1		8		9						2013
"Production, transportation, and material moving"	"Layout workers, metal and plastic"	0		3		4						2013
"Production, transportation, and material moving"	"Plating and coating machine setters, operators, and tenders, metal and plastic"	1		15		16						2013
"Production, transportation, and material moving"	"Tool grinders, filers, and sharpeners"	0		4		4						2013
"Production, transportation, and material moving"	"Metal workers and plastic workers, all other"	66	557	257	606	323	592	"y"	91	49	2548	2013
"Production, transportation, and material moving"	"Prepress technicians and workers"	9		17		25						2013
"Production, transportation, and material moving"	"Printing press operators"	30		145	703	175	656					2013
"Production, transportation, and material moving"	"Print binding and finishing workers"	13		8		22						2013
"Production, transportation, and material moving"	"Laundry and dry-cleaning workers"	71	360	50	425	121	385	"y"	84	65	3380	2013
"Production, transportation, and material moving"	"Pressers, textile, garment, and related materials"	17		18		35						2013
"Production, transportation, and material moving"	"Sewing machine operators"	91	405	29		121	405					2013
"Production, transportation, and material moving"	"Shoe and leather workers and repairers"	1		4		5						2013
"Production, transportation, and material moving"	"Shoe machine operators and tenders"	1		1		3						2013
"Production, transportation, and material moving"	"Tailors, dressmakers, and sewers"	28		13		42						2013
"Production, transportation, and material moving"	"Textile bleaching and dyeing machine operators and tenders"	1		1		2						2013
"Production, transportation, and material moving"	"Textile cutting machine setters, operators, and tenders"	1		5		5						2013
"Production, transportation, and material moving"	"Textile knitting and weaving machine setters, operators, and tenders"	3		0		3						2013
"Production, transportation, and material moving"	"Textile winding, twisting, and drawing out machine setters, operators, and tenders"	5		7		12						2013
"Production, transportation, and material moving"	"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers"	0		1		1						2013
"Production, transportation, and material moving"	"Fabric and apparel patternmakers"	1		0		1						2013
"Production, transportation, and material moving"	"Upholsterers"	2		17		19						2013
"Production, transportation, and material moving"	"Textile, apparel, and furnishings workers, all other"	3		8		12						2013
"Production, transportation, and material moving"	"Cabinetmakers and bench carpenters"	0		27		28						2013
"Production, transportation, and material moving"	"Furniture finishers"	1		4		5						2013
"Production, transportation, and material moving"	"Model makers and patternmakers, wood"	0		0		0						2013
"Production, transportation, and material moving"	"Sawing machine setters, operators, and tenders, wood"	2		23		25						2013
"Production, transportation, and material moving"	"Woodworking machine setters, operators, and tenders, except sawing"	4		14		18						2013
"Production, transportation, and material moving"	"Woodworkers, all other"	1		8		9						2013
"Production, transportation, and material moving"	"Power plant operators, distributors, and dispatchers"	6		35		41						2013
"Production, transportation, and material moving"	"Stationary engineers and boiler operators"	5		84	922	90	903					2013
"Production, transportation, and material moving"	"Water and wastewater treatment plant and system operators"	4		64	829	68	828					2013
"Production, transportation, and material moving"	"Miscellaneous plant and system operators"	2		40		41						2013
"Production, transportation, and material moving"	"Chemical processing machine setters, operators, and tenders"	5		41		46						2013
"Production, transportation, and material moving"	"Crushing, grinding, polishing, mixing, and blending workers"	11		77	807	88	716					2013
"Production, transportation, and material moving"	"Cutting workers"	10		30		40						2013
"Production, transportation, and material moving"	"Extruding, forming, pressing, and compacting machine setters, operators, and tenders"	5		26		31						2013
"Production, transportation, and material moving"	"Furnace, kiln, oven, drier, and kettle operators and tenders"	0		10		10						2013
"Production, transportation, and material moving"	"Inspectors, testers, sorters, samplers, and weighers"	211	583	439	835	650	741	"y"	69	252	13104	2013
"Production, transportation, and material moving"	"Jewelers and precious stone and metal workers"	6		17		23						2013
"Production, transportation, and material moving"	"Medical, dental, and ophthalmic laboratory technicians"	33		34		67	701					2013
"Production, transportation, and material moving"	"Packaging and filling machine operators and tenders"	159	429	137	537	297	488	"y"	79	108	5616	2013
"Production, transportation, and material moving"	"Painting workers"	17		108	673	125	664					2013
"Production, transportation, and material moving"	"Photographic process workers and processing machine operators"	11		15		26						2013
"Production, transportation, and material moving"	"Semiconductor processors"	1		1		2						2013
"Production, transportation, and material moving"	"Adhesive bonding machine operators and tenders"	5		5		11						2013
"Production, transportation, and material moving"	"Cleaning, washing, and metal pickling equipment operators and tenders"	1		2		3						2013
"Production, transportation, and material moving"	"Cooling and freezing equipment operators and tenders"	0		1		1						2013
"Production, transportation, and material moving"	"Etchers and engravers"	0		2		2						2013
"Production, transportation, and material moving"	"Molders, shapers, and casters, except metal and plastic"	3		28		31						2013
"Production, transportation, and material moving"	"Paper goods machine setters, operators, and tenders"	3		18		21						2013
"Production, transportation, and material moving"	"Tire builders"	7		16		23						2013
"Production, transportation, and material moving"	"Helpers--production workers"	9		20		29						2013
"Production, transportation, and material moving"	"Production workers, all other"	236	501	630	619	866	586	"y"	80	118	6136	2013
"Production, transportation, and material moving"	"Supervisors of transportation and material moving workers"	38		126	930	165	882					2013
"Production, transportation, and material moving"	"Aircraft pilots and flight engineers"	7		93	1859	100	1845					2013
"Production, transportation, and material moving"	"Air traffic controllers and airfield operations specialists"	5		37		41						2013
"Production, transportation, and material moving"	"Flight attendants"	54	749	16		69	767					2013
"Production, transportation, and material moving"	"Ambulance drivers and attendants, except emergency medical technicians"	3		9		12						2013
"Production, transportation, and material moving"	"Bus drivers"	147	556	192	597	339	579	"y"	93	41	2132	2013
"Production, transportation, and material moving"	"Driver/sales workers and truck drivers"	106	583	2482	738	2587	730	"y"	78	155	8060	2013
"Production, transportation, and material moving"	"Taxi drivers and chauffeurs"	30		172	540	202	521					2013
"Production, transportation, and material moving"	"Motor vehicle operators, all other"	3		37		39						2013
"Production, transportation, and material moving"	"Locomotive engineers and operators"	2		48		50	1396					2013
"Production, transportation, and material moving"	"Railroad brake, signal, and switch operators"	0		11		12						2013
"Production, transportation, and material moving"	"Railroad conductors and yardmasters"	3		43		46						2013
"Production, transportation, and material moving"	"Subway, streetcar, and other rail transportation workers"	0		5		5						2013
"Production, transportation, and material moving"	"Sailors and marine oilers"	1		28		29						2013
"Production, transportation, and material moving"	"Ship and boat captains and operators"	0		32		32						2013
"Production, transportation, and material moving"	"Ship engineers"	0		7		7						2013
"Production, transportation, and material moving"	"Bridge and lock tenders"	0		5		5						2013
"Production, transportation, and material moving"	"Parking lot attendants"	7		43		50	423					2013
"Production, transportation, and material moving"	"Automotive and watercraft service attendants"	12		67	403	78	398					2013
"Production, transportation, and material moving"	"Transportation inspectors"	6		35		41						2013
"Production, transportation, and material moving"	"Transportation attendants, except flight attendants"	16		14		30						2013
"Production, transportation, and material moving"	"Other transportation workers"	1		15		17						2013
"Production, transportation, and material moving"	"Conveyor operators and tenders"	1		3		4						2013
"Production, transportation, and material moving"	"Crane and tower operators"	1		69	871	70	846					2013
"Production, transportation, and material moving"	"Dredge, excavating, and loading machine operators"	0		28		28						2013
"Production, transportation, and material moving"	"Hoist and winch operators"	0		7		7						2013
"Production, transportation, and material moving"	"Industrial truck and tractor operators"	32		510	559	542	559					2013
"Production, transportation, and material moving"	"Cleaners of vehicles and equipment"	28		206	434	235	429					2013
"Production, transportation, and material moving"	"Laborers and freight, stock, and material movers, hand"	221	421	1056	524	1277	511	"y"	80	103	5356	2013
"Production, transportation, and material moving"	"Machine feeders and offbearers"	4		15		20						2013
