"iso_a3","country","gdp_pc"
"HND","Honduras",4592.59339927457
"HRV","Croatia",21365.5824631022
"HTI","Haiti",1703.02934940234
"HUN","Hungary",23482.1020528711
"IDN","Indonesia",9561.12635183094
"IND","India",5411.61554629181
"IRL","Ireland",46139.6166017257
"IRN","Iran, Islamic Rep.",15590.1519646088
"IRQ","Iraq",14951.0776794266
"ISL","Iceland",41938.9299464785
"ISR","Israel",32760.4112142528
"ITA","Italy",35597.3160550274
"JAM","Jamaica",8891.89154248426
"JOR","Jordan",11784.5316899264
"JPN","Japan",36449.0618262047
"KAZ","Kazakhstan",23211.312265251
"KEN","Kenya",2794.98131908266
"KGZ","Kyrgyz Republic",3212.93244119764
"KHM","Cambodia",3041.07709021153
"KIR","Kiribati",1855.82888361975
"KNA","St. Kitts and Nevis",21395.6932205761
"KOR","Korea, Rep.",33139.5820334768
"KWT","Kuwait",
"LAO","Lao PDR",4822.02207368924
"LBN","Lebanon",17173.8422362362
"LBR","Liberia",877.995480056484
"LBY","Libya",21046.3473378789
"LCA","St. Lucia",10487.9682765538
"LIE","Liechtenstein",
"LKA","Sri Lanka",9738.11917417447
"LSO","Lesotho",2576.25549405545
"LTU","Lithuania",25467.0459415157
"LUX","Luxembourg",90410.1436515027
"LVA","Latvia",22560.2299095174
"MAC","Macao SAR, China",142599.240319212
"MAF","St. Martin (French part)",
"MAR","Morocco",7198.16371916788
"MCO","Monaco",
"MDA","Moldova",4670.35017000535
"MDG","Madagascar",1413.99075673979
"MDV","Maldives",11656.7428360248
"MEX","Mexico",16463.392673388
"MHL","Marshall Islands",3900.99731010833
"MKD","Macedonia, FYR",11611.97490519
"MLI","Mali",1641.83452128449
"MLT","Malta",29133.1118089873
"MMR","Myanmar",
"MNE","Montenegro",14131.6050000068
"MNG","Mongolia",9434.9627693653
"MNP","Northern Mariana Islands",
"MOZ","Mozambique",1105.07349763736
"MRT","Mauritania",3042.83849410548
"MUS","Mauritius",17199.5294237952
"MWI","Malawi",780.003107565482
"MYS","Malaysia",23338.0140244332
"NAM","Namibia",9583.18475656442
"NCL","New Caledonia",
"NER","Niger",916.199691229844
"NGA","Nigeria",5602.40879552442
"NIC","Nicaragua",4642.69625070461
"NLD","Netherlands",46298.4358637241
"NOR","Norway",65461.1653874422
"NPL","Nepal",2244.79962842638
"NZL","New Zealand",34825.7083942145
"OMN","Oman",
"PAK","Pakistan",4601.68894303447
"PAN","Panama",19416.2320170688
"PER","Peru",11774.1883417434
"PHL","Philippines",6535.87586381471
"PLW","Palau",15095.9881392384
"PNG","Papua New Guinea",2539.08170427106
"POL","Poland",23649.1101792577
"PRI","Puerto Rico",34752.376062686
"PRK","Korea, Dem. Rep.",
"PRT","Portugal",26759.026122355
"PRY","Paraguay",8092.67275665026
"PYF","French Polynesia",
"QAT","Qatar",136727.253610167
"ROU","Romania",18991.3019526057
"RUS","Russian Federation",24114.0880976422
"RWA","Rwanda",1473.63801166274
"SAU","Saudi Arabia",53644.1269250098
"SDN","Sudan",3372.97200690061
"SEN","Senegal",2241.99652516017
"SGP","Singapore",78763.3849443771
"SLB","Solomon Islands",2068.96106224769
"SLE","Sierra Leone",1544.18323961817
"SLV","El Salvador",7764.14274460714
"SMR","San Marino",
"SOM","Somalia",
"SRB","Serbia",13020.1042341046
"SSD","South Sudan",2029.74531174235
"STP","Sao Tome and Principe",2971.06707976578
"SUR","Suriname",16071.3846314326
"SVK","Slovak Republic",26642.7084756583
"SVN","Slovenia",28995.6434884216
"SWE","Sweden",45148.1252596379
"SWZ","Swaziland",6685.33811734131
"SXM","Sint Maarten (Dutch part)",
"SYC","Seychelles",24587.4855947311
"SYR","Syrian Arab Republic",
"TCA","Turks and Caicos Islands",
"TCD","Chad",2088.5918355193
"TGO","Togo",1390.51971095318
"THA","Thailand",14393.5307035565
"TJK","Tajikistan",2512.24756635
"TKM","Turkmenistan",14004.160056658
"TON","Tonga",5304.20668898596
"TTO","Trinidad and Tobago",30446.0075388524
"TUN","Tunisia",11124.4960087614
"TUR","Turkey",19020.0650632949
"TUV","Tuvalu",3645.1579296558
"TZA","Tanzania",1775.05858032604
"UGA","Uganda",1413.15463013282
"UKR","Ukraine",8789.98200051008
"URY","Uruguay",19594.3695607622
"USA","United States",53041.9814055623
"UZB","Uzbekistan",5168.28603457276
"VCT","St. Vincent and the Grenadines",10490.6041669164
"VEN","Venezuela, RB",18198.3700172414
"VIR","Virgin Islands (U.S.)",
"VNM","Vietnam",5294.43986933333
"VUT","Vanuatu",2990.91682998287
"WSM","Samoa",5768.98576875814
"YEM","Yemen, Rep.",3959.29188263281
"ZAF","South Africa",12506.7494760135
"ZMB","Zambia",3925.46238739217
"ZWE","Zimbabwe",1832.08324432316
