source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Thank you to Sean Parnell for the nice comments on @foxandfriends about the troops wonderful reaction to Melania and I in Iraq and Germany. Great things are happening!,12-28-2018 14:51:07,21407,113861,false,1078664648726061056
Twitter for iPhone,.....Honduras Guatemala and El Salvador are doing nothing for the United States but taking our money. Word is that a new Caravan is forming in Honduras and they are doing nothing about it. We will be cutting off all aid to these 3 countries - taking advantage of U.S. for years!,12-28-2018 13:06:13,39548,167132,false,1078638249562775552
Twitter for iPhone,.....close the Southern Border. Bring our car industry back into the United States where it belongs. Go back to pre-NAFTA before so many of our companies and jobs were so foolishly sent to Mexico. Either we build (finish) the Wall or we close the Border......,12-28-2018 12:49:26,25309,108158,false,1078634025412116480
Twitter for iPhone,....The United States looses soooo much money on Trade with Mexico under NAFTA over 75 Billion Dollars a year (not including Drug Money which would be many times that amount) that I would consider closing the Southern Border a “profit making operation.” We build a Wall or.....,12-28-2018 12:42:12,23736,101103,false,1078632205210058752
Twitter for iPhone,We will be forced to close the Southern Border entirely if the Obstructionist Democrats do not give us the money to finish the Wall &amp; also change the ridiculous immigration laws that our Country is saddled with. Hard to believe there was a Congress &amp; President who would approve!,12-28-2018 12:16:40,36280,156425,false,1078625779670503426
Twitter for iPhone,CNN &amp; others within the Fake News Universe were going wild about my signing MAGA hats for our military in Iraq and Germany. If these brave young people ask me to sign their hat I will sign. Can you imagine my saying NO? We brought or gave NO hats as the Fake News first reported!,12-27-2018 23:23:36,43772,181435,false,1078431231262502912
Twitter for iPhone,This isn’t about the Wall everybody knows that a Wall will work perfectly (In Israel the Wall works 99.9%). This is only about the Dems not letting Donald Trump &amp; the Republicans have a win. They may have the 10 Senate votes but we have the issue Border Security. 2020!,12-27-2018 22:10:07,31406,127902,false,1078412737603096576
Twitter for iPhone,Brad Blakeman: “The American people understand that we have been played by foreign actors who would rather have us fight their battles for them. The President says look this is your neighborhood you’ve got to stand up to protect yourselves. Don’t always look to America.”,12-27-2018 21:26:10,19646,85166,false,1078401678930558976
Twitter for iPhone,Brad Blakeman: “The American people understand that we have been played by foreign actors who would rather have us fight their battles for them. The Pesident says look this is your neighborhood you’ve got to stand up to protect yourselves. Don’t always look to America.”,12-27-2018 21:13:15,2510,9448,false,1078398427661250562
Twitter for iPhone,I totally agree! https://t.co/KO8E3bfWfn,12-27-2018 21:04:24,45963,179981,false,1078396200842395648
Twitter for iPhone,There is right now a full scale manhunt going on in California for an illegal immigrant accused of shooting and killing a police officer during a traffic stop. Time to get tough on Border Security. Build the Wall!,12-27-2018 21:04:06,36523,146277,false,1078396126619930624
Twitter for iPhone,“Border Patrol Agents want the Wall.” Democrat’s say they don’t want the Wall (even though they know it is really needed) and they don’t want ICE. They don’t have much to campaign on do they? An Open Southern Border and the large scale crime that comes with such stupidity!,12-27-2018 20:39:59,24281,105281,false,1078390057906638853
Twitter for iPhone,The reason the DACA for Wall deal didn’t get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain thereby setting up a Supreme Court case. After ruling Dems dropped deal - and that’s where we are today Democrat obstruction of the needed Wall.,12-27-2018 19:44:49,21140,81965,false,1078376171845361665
Twitter for iPhone,The Democrats OBSTRUCTION of the desperately needed Wall where they almost all recently agreed it should be built is exceeded only by their OBSTRUCTION of 350 great people wanting &amp; expecting to come into Government after being delayed for more than two years a U.S. record!,12-27-2018 19:41:45,20172,84780,false,1078375400974307328
Twitter for iPhone,The reason the DACA for Wall deal didn’t get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain thereby setting up a Supteme Court case. After ruling Dems dropped deal - and that’s where we are today Democrat obstruction of the needed Wall.,12-27-2018 19:35:46,2339,8218,false,1078373893822431233
Twitter for iPhone,Have the Democrats finally realized that we desperately need Border Security and a Wall on the Southern Border. Need to stop Drugs Human TraffickingGang Members &amp; Criminals from coming into our Country. Do the Dems realize that most of the people not getting paid are Democrats?,12-27-2018 12:06:25,30542,131861,false,1078260814157701121
Twitter for iPhone,Just returned from visiting our troops in Iraq and Germany. One thing is certain we have incredible people representing our Country - people that know how to win!,12-27-2018 11:59:04,29623,168756,false,1078258964796706816
Twitter for iPhone,.@FLOTUS Melania and I were honored to visit our incredible troops at Al Asad Air Base in Iraq. GOD BLESS THE U.S.A.! https://t.co/rDlhITDvm1,12-26-2018 20:35:25,50441,222873,false,1078026520021544960
Twitter for iPhone,I hope everyone even the Fake News Media is having a great Christmas! Our Country is doing very well. We are securing our Borders making great new Trade Deals and bringing our Troops Back Home. We are finally putting America First. MERRY CHRISTMAS!  #MAGA,12-25-2018 23:18:44,46596,249842,false,1077705232665272321
Twitter for iPhone,Merry Christmas!,12-25-2018 12:59:08,89254,508327,false,1077549301449060352
Twitter for iPhone,RT @FLOTUS: Helping children across the country track #Santa is becoming one of my favorite traditions!  @Potus and I enjoyed working with…,12-25-2018 02:28:40,24694,0,true,1077390639766081541
Twitter for iPhone,I am in the Oval Office &amp; just gave out a 115 mile long contract for another large section of the Wall in Texas. We are already building and renovating many miles of Wall some complete. Democrats must end Shutdown and finish funding. Billions of Dollars &amp; lives will be saved!,12-24-2018 22:24:13,41153,182040,false,1077329121745793025
Twitter for iPhone,Christmas Eve briefing with my team working on North Korea – Progress being made. Looking forward to my next summit with Chairman Kim! https://t.co/zPTtDbrP0o,12-24-2018 21:14:12,17566,88627,false,1077311502615490560
Twitter for iPhone,I am all alone (poor me) in the White House waiting for the Democrats to come back and make a deal on desperately needed Border Security. At some point the Democrats not wanting to make a deal will cost our Country more money than the Border Wall we are all talking about. Crazy!,12-24-2018 17:32:44,37860,181954,false,1077255770725601280
Twitter for iPhone,Saudi Arabia has now agreed to spend the necessary money needed to help rebuild Syria instead of the United States. See? Isn’t it nice when immensely wealthy countries help rebuild their neighbors rather than a Great Country the U.S. that is 5000 miles away. Thanks to Saudi A!,12-24-2018 17:23:22,38832,156892,false,1077253411358326785
Twitter for iPhone,The Wall is different than the 25 Billion Dollars in Border Security. The complete Wall will be built with the Shutdown money plus funds already in hand. The reporting has been inaccurate on the point. The problem is without the Wall much of the rest of Dollars are wasted!,12-24-2018 17:10:22,25415,101326,false,1077250139503452162
Twitter for iPhone,I never “lashed out” at the Acting Attorney General of the U.S. a man for whom I have great respect. This is a made up story one of many by the Fake News Media!,12-24-2018 16:55:32,19239,88333,false,1077246407554281472
Twitter for iPhone,The only problem our economy has is the Fed. They don’t have a feel for the Market they don’t understand necessary Trade Wars or Strong Dollars or even Democrat Shutdowns over Borders. The Fed is like a powerful golfer who can’t score because he has no touch - he can’t putt!,12-24-2018 15:55:22,30508,125022,false,1077231267559755776
Twitter for iPhone,AMERICA IS RESPECTED AGAIN!,12-24-2018 15:33:41,28409,156718,false,1077225810329825281
Twitter for iPhone,For all of the sympathizers out there of Brett McGurk remember he was the Obama appointee who was responsible for loading up airplanes with 1.8 Billion Dollars in CASH &amp;  sending it to Iran as part of the horrific Iran Nuclear Deal (now terminated) approved by Little Bob Corker.,12-24-2018 15:23:22,28640,99077,false,1077223213598429185
Twitter for iPhone,....We are substantially subsidizing the Militaries of many VERY rich countries all over the world while at the same time these countries take total advantage of the U.S. and our TAXPAYERS on Trade. General Mattis did not see this as a problem. I DO and it is being fixed!,12-24-2018 14:59:23,25119,107521,false,1077217178322194432
Twitter for iPhone,To those few Senators who think I don’t like or appreciate being allied with other countries they are wrong I DO. What I don’t like however is when many of these same countries take advantage of their friendship with the United States both in Military Protection and Trade...,12-24-2018 14:41:02,22190,98796,false,1077212559604924416
Twitter for iPhone,Virtually every Democrat we are dealing with today strongly supported a Border Wall or Fence. It was only when I made it an important part of my campaign because people and drugs were pouring into our Country unchecked that they turned against it. Desperately needed!,12-24-2018 14:31:50,25312,108934,false,1077210242574942208
Twitter for iPhone,President @RT_Erdogan of Turkey has very strongly informed me that he will eradicate whatever is left of ISIS in Syria....and he is a man who can do it plus Turkey is right “next door.” Our troops are coming home!,12-24-2018 04:54:00,21687,97080,false,1077064829825966081
Twitter for iPhone,“The President has been remarkable. I do not doubt that he will thrive in this new environment and he will be a constant reminder of what populism is.” Thank you to Tammy Bruce and Steve Hilton. Presidential Harassment has been with me from the beginning!,12-24-2018 04:26:22,16101,78715,false,1077057874235400194
Twitter for iPhone,The most important way to stop gangs drugs human trafficking and massive crime is at our Southern Border. We need Border Security and as EVERYONE knows you can’t have Border Security without a Wall. The Drones &amp; Technology are just bells and whistles. Safety for America!,12-24-2018 04:05:26,24085,100773,false,1077052604499353600
Twitter for iPhone,Mitch McConnell just told a group of people and me that he has been in the U.S. Senate for 32 years and the last two have been by far the best &amp; most productive of his career. Tax &amp; Regulation Cuts VA Choice Farm Bill Criminal Justice Reform Judgeships &amp; much more. Great!,12-24-2018 03:47:21,26483,130325,false,1077048054862278656
Twitter for iPhone,“It should not be the job of America to replace regimes around the world. This is what President Trump recognized in Iraq that it was the biggest foreign policy disaster of the last several decades and he’s right...The generals still don’t get the mistake.”  @RandPaul,12-24-2018 03:32:49,22084,89820,false,1077044397504692227
Twitter for iPhone,RT @RSScott_BP252: USBP Agents will continue to diligently do their sworn duites through the holidays and the furlough -JUST LIKE EVERY OTH…,12-24-2018 00:42:22,1326,0,true,1077001502173089793
Twitter for iPhone,Thanks @RandPaul  “I am very proud of the President. This is exactly what he promised and I think the people agree with him. We’ve been at war too long and in too many places...spent several trillion dollars on these wars everywhere. He’s different...that’s why he got elected.”,12-23-2018 21:18:49,25268,109480,false,1076950276958027779
Twitter for iPhone,.....Bob Corker was responsible for giving us the horrible Iran Nuclear Deal which I ended yet he badmouths me for wanting to bring our young people safely back home. Bob wanted to run and asked for my endorsement. I said NO and the game was over. #MAGA I LOVE TENNESSEE!,12-23-2018 20:20:22,21647,97685,false,1076935567760338944
Twitter for iPhone,Senator Bob Corker just stated that “I’m so priveledged to serve in the Senate for twelve years and that’s what I told the people of our state that’s what I’d do serve for two terms.” But that is Not True - wanted to run but poll numbers TANKED when I wouldn’t endorse him.....,12-23-2018 19:56:37,16542,78517,false,1076929590050897920
Twitter for iPhone,We signed two pieces of major legislation this week Criminal Justice Reform and the Farm Bill. These are two Big Deals but all the Fake News Media wants to talk about is “the mistake” of bringing our young people back home from the Never Ending Wars. It all began 19 years ago!,12-23-2018 19:45:22,22964,94518,false,1076926760829243392
Twitter for iPhone,Unthinkable devastation from the tsunami disaster in Indonesia. More than two hundred dead and nearly a thousand injured or unaccounted for. We are praying for recovery and healing. America is with you!,12-23-2018 17:13:27,15979,79668,false,1076888530276810753
Twitter for iPhone,I just had a long and productive call with President @RT_Erdogan of Turkey. We discussed ISIS our mutual involvement in Syria &amp; the slow &amp; highly coordinated pullout of U.S. troops from the area. After many years they are coming home. We also discussed heavily expanded Trade.,12-23-2018 16:59:22,17811,80977,false,1076884984873607169
Twitter for iPhone,I am pleased to announce that our very talented Deputy Secretary of Defense Patrick Shanahan will assume the title of Acting Secretary of Defense starting January 1 2019. Patrick has a long list of accomplishments while serving as Deputy &amp; previously Boeing. He will be great!,12-23-2018 16:46:47,18488,87083,false,1076881816462737408
Twitter for iPhone,The only way to stop drugs gangs human trafficking criminal elements and much else from coming into our Country is with a Wall or Barrier. Drones and all of the rest are wonderful and lots of fun but it is only a good old fashioned Wall that works!,12-23-2018 14:17:54,32372,143510,false,1076844349860823042
Twitter for iPhone,When President Obama ingloriously fired Jim Mattis I gave him a second chance. Some thought I shouldn’t I thought I should. Interesting relationship-but I also gave all of the resources that he never really had. Allies are very important-but not when they take advantage of U.S.,12-23-2018 02:20:32,25500,115813,false,1076663817831153664
Twitter for iPhone,If anybody but your favorite President Donald J. Trump announced that after decimating ISIS in Syria we were going to bring our troops back home (happy &amp; healthy) that person would be the most popular hero in America. With me hit hard instead by the Fake News Media. Crazy!,12-23-2018 01:59:29,33844,153602,false,1076658521926656000
Twitter for iPhone,Brett McGurk who I do not know was appointed by President Obama in 2015. Was supposed to leave in February but he just resigned prior to leaving. Grandstander? The Fake News is making such a big deal about this nothing event!,12-23-2018 01:48:23,19475,86601,false,1076655729820471296
Twitter for iPhone,I will not be going to Florida because of the Shutdown - Staying in the White House!  #MAGA,12-22-2018 23:58:43,23909,121158,false,1076628127525294080
Twitter for iPhone,Senate adjourns until December 27th.,12-22-2018 21:12:02,14231,64919,false,1076586181897474048
Twitter for iPhone,I won an election said to be one of the greatest of all time based on getting out of endless &amp; costly foreign wars &amp; also based on Strong Borders which will keep our Country safe. We fight for the borders of other countries but we won’t fight for the borders of our own!,12-22-2018 20:28:21,40151,175564,false,1076575190899929088
Twitter for iPhone,The crisis of illegal activity at our Southern Border is real and will not stop until we build a great Steel Barrier or Wall. Let work begin!,12-22-2018 20:03:58,24788,111116,false,1076569051768516608
Twitter for iPhone,Will be having lunch in White House residence with large group concerning Border Security.,12-22-2018 17:02:37,17276,93759,false,1076523416516263936
Twitter for iPhone,....going to be there for three months and that was seven years ago - we never left. When I became President ISIS was going wild. Now ISIS is largely defeated and other local countries including Turkey should be able to easily take care of whatever remains. We’re coming home!,12-22-2018 16:30:35,25454,117921,false,1076515352249597954
Twitter for iPhone,I am in the White House working hard. News reports concerning the Shutdown and Syria are mostly FAKE. We are negotiating with the Democrats on desperately needed Border Security (Gangs Drugs Human Trafficking &amp; more) but it could be a long stay. On Syria we were originally...,12-22-2018 16:18:11,20944,90769,false,1076512233897771010
Twitter for iPhone,RT @realDonaldTrump: OUR GREAT COUNTRY MUST HAVE BORDER SECURITY! https://t.co/ZGcYygMf3a,12-22-2018 05:09:15,16325,0,true,1076343890473598976
Twitter for iPhone,OUR GREAT COUNTRY MUST HAVE BORDER SECURITY! https://t.co/ZGcYygMf3a,12-22-2018 02:49:05,38165,150175,false,1076308614372048897
Twitter for iPhone,Wishing Supreme Court Justice Ruth Bader Ginsburg a full and speedy recovery!,12-22-2018 00:16:55,16052,113554,false,1076270321861312512
Twitter for iPhone,Some of the many Bills that I am signing in the Oval Office right now. Cancelled my trip on Air Force One to Florida while we wait to see if the Democrats will help us to protect America’s Southern Border! https://t.co/ws6LYhKcKl,12-21-2018 23:23:27,22682,103894,false,1076256868190834689
Twitter for iPhone,A design of our Steel Slat Barrier which is totally effective while at the same time beautiful! https://t.co/sGltXh0cu9,12-21-2018 22:14:14,33445,138598,false,1076239448461987841
Twitter for iPhone,Today it was my honor to sign into law H.R. 7213 the “Countering Weapons of Mass Destruction Act of 2018.” The Act redesignates the @DHSgov Domestic Nuclear Detection Office as the Countering Weapons of Mass Destruction Office. Read more: https://t.co/XCkyc8pGZF https://t.co/TTvGxBww5n,12-21-2018 19:56:05,11305,50880,false,1076204680202670081
Twitter for iPhone,Today it was my great honor to sign the #FirstStepAct - a monumental bi-partisan win for the American people! https://t.co/isy6Bt38iK,12-21-2018 19:28:13,13670,58726,false,1076197669968728065
Twitter for iPhone,I’ve done more damage to ISIS than all recent presidents....not even close!,12-21-2018 15:31:41,21551,113478,false,1076138140795064320
Twitter for iPhone,The Democrats now own the shutdown!,12-21-2018 15:07:23,29590,130672,false,1076132028888825857
Twitter for iPhone,General Anthony Tata author “Dark Winter.” I think the President is making the exact right move in Syria. All the geniuses who are protesting the withdrawal of troops from Syria are the same geniuses who cooked the books on ISIS intelligence and gave rise to ISIS.”,12-21-2018 14:50:29,21921,80666,false,1076127773444526080
Twitter for iPhone,There has never been a president who has been tougher (but fair) on China or Russia - Never just look at the facts. The Fake News tries so hard to paint the opposite picture.,12-21-2018 14:41:59,17272,78064,false,1076125633275666433
Twitter for iPhone,Thank you @SteveDaines for being willing to go with the so-called nuclear option in order to win on DESPERATELY NEEDED Border Security! Have my total support.,12-21-2018 13:08:06,15951,69823,false,1076102009185550336
Twitter for iPhone,Mitch use the Nuclear Option and get it done! Our Country is counting on you!,12-21-2018 13:02:35,28519,118884,false,1076100620581511170
Twitter for iPhone,Even President Ronald Reagan tried for 8 years to build a Border Wall or Fence and was unable to do so. Others also have tried. We will get it done one way or the other!,12-21-2018 12:38:15,20752,93214,false,1076094498210500608
Twitter for iPhone,Shutdown today if Democrats do not vote for Border Security!,12-21-2018 12:31:35,23237,104725,false,1076092817087320064
Twitter for iPhone,House Republican Vote 217-185.,12-21-2018 12:27:47,11100,62603,false,1076091862673436672
Twitter for iPhone,The Democrats whose votes we need in the Senate will probably vote against Border Security and the Wall even though they know it is DESPERATELY NEEDED. If the Dems vote no there will be a shutdown that will last for a very long time. People don’t want Open Borders and Crime!,12-21-2018 12:24:18,19337,81582,false,1076090986651099136
Twitter for iPhone,No matter what happens today in the Senate Republican House Members should be very proud of themselves. They flew back to Washington from all parts of the World in order to vote for Border Security and the Wall. Not one Democrat voted yes and we won big. I am very proud of you!,12-21-2018 12:19:46,17819,78125,false,1076089846266036231
Twitter for iPhone,.....on a Border is only effective in conjunction with a Wall. Properly designed and built Walls work and the Democrats are lying when they say they don’t. In Israel the Wall is 99.9% successful. Will not be any different on our Southern Border! Hundreds of $Billions saved!,12-21-2018 12:10:36,15582,67948,false,1076087536240480257
Twitter for iPhone,The Democrats are trying to belittle the concept of a Wall calling it old fashioned. The fact is there is nothing else’s that will work and that has been true for thousands of years. It’s like the wheel there is nothing better. I know tech better than anyone &amp; technology.....,12-21-2018 11:58:29,22063,101281,false,1076084489422557184
Twitter for iPhone,Senator Mitch McConnell should fight for the Wall and Border Security as hard as he fought for anything. He will need Democrat votes but as shown in the House good things happen. If enough Dems don’t vote it will be a Democrat Shutdown! House Republicans were great yesterday!,12-21-2018 11:50:53,16593,73249,false,1076082577281347584
Twitter for iPhone,Soon to be Speaker Nancy Pelosi said last week live from the Oval Office that the Republicans didn’t have the votes for Border Security. Today the House Republicans voted and won 217-185. Nancy does not have to apologize. All I want is GREAT BORDER SECURITY!,12-21-2018 03:20:29,28189,113127,false,1075954128222871552
Twitter for iPhone,Thank you to our GREAT Republican Members of Congress for your VOTE to fund Border Security and the Wall. The final numbers were 217-185 and many have said that the enthusiasm was greater than they have ever seen before. So proud of you all. Now on to the Senate!,12-21-2018 03:13:54,28351,125268,false,1075952474673041410
Twitter for iPhone,General Jim Mattis will be retiring with distinction at the end of February after having served my Administration as Secretary of Defense for the past two years. During Jim’s tenure tremendous progress has been made especially with respect to the purchase of new fighting....,12-20-2018 22:21:07,20654,90865,false,1075878792168685568
Twitter for iPhone,....equipment. General Mattis was a great help to me in getting allies and other countries to pay their share of military obligations. A new Secretary of Defense will be named shortly. I greatly thank Jim for his service!,12-20-2018 22:21:07,15917,75018,false,1075878793393463296
Twitter Media Studio,Democrats it is time to come together and put the SAFETY of the AMERICAN PEOPLE before POLITICS. Border security must become a #1 priority! https://t.co/Wck6UpQGil,12-20-2018 21:48:15,24228,93654,false,1075870519046610945
Twitter for iPhone,Farm Bill signing in 15 minutes! #Emmys #TBT https://t.co/KtSS17xvIn,12-20-2018 20:14:35,36226,132284,false,1075846949427908608
Twitter for iPhone,So hard to believe that Lindsey Graham would be against saving soldier lives &amp; billions of $$$. Why are we fighting for our enemy Syria by staying &amp; killing ISIS for them Russia Iran &amp; other locals? Time to focus on our Country &amp; bring our youth back home where they belong!,12-20-2018 19:22:19,25228,118087,false,1075833793720795141
Twitter for iPhone,Congress just passed the Criminal Justice Reform Bill known as the #FirstStepAct. Congratulations! This is a great bi-partisan achievement for everybody. When both parties work together we can keep our Country safer. A wonderful thing for the U.S.A.!!,12-20-2018 19:16:07,13689,64910,false,1075832235318804481
Twitter for iPhone,When I begrudgingly signed the Omnibus Bill I was promised the Wall and Border Security by leadership. Would be done by end of year (NOW). It didn’t happen! We foolishly fight for Border Security for other countries - but not for our beloved U.S.A. Not good!,12-20-2018 15:28:54,30304,119968,false,1075775054099542016
Twitter for iPhone,RT @realDonaldTrump: After historic victories against ISIS it’s time to bring our great young people home! https://t.co/xoNjFzQFTp,12-20-2018 12:41:08,29381,0,true,1075732835523330048
Twitter for iPhone,With so much talk about the Wall people are losing sight of the great job being done on our Southern Border by Border Patrol ICE and our great Military. Remember the Caravans? Well they didn’t get through and none are forming or on their way. Border is tight. Fake News silent!,12-20-2018 12:39:19,24050,101172,false,1075732375169060869
Twitter for iPhone,The Democrats who know Steel Slats (Wall) are necessary for Border Security are putting politics over Country. What they are just beginning to realize is that I will not sign any of their legislation including infrastructure unless it has perfect Border Security. U.S.A. WINS!,12-20-2018 12:28:34,22888,94469,false,1075729672628068353
Twitter for iPhone,....Russia Iran Syria &amp; many others are not happy about the U.S. leaving despite what the Fake News says because now they will have to fight ISIS and others who they hate without us. I am building by far the most powerful military in the world. ISIS hits us they are doomed!,12-20-2018 12:16:38,16936,74564,false,1075726666574544896
Twitter for iPhone,Does the USA want to be the Policeman of the Middle East getting NOTHING but spending precious lives and trillions of dollars protecting others who in almost all cases do not appreciate what we are doing? Do we want to be there forever? Time for others to finally fight.....,12-20-2018 11:56:54,26017,109948,false,1075721703421042688
