FACID,NAME,ADDRESS,CITY,COUNTY,ZIP,TYPE,CAPACITY,LATITUDE,LONGITUDE,LOCATION
010000060,Seaview Healthcare And Rehabilitation Center,6400 Purdue Dr,Eureka,HUMBOLDT,95503,Skilled Nursing Facility,99,40.731175,-124.203996,"(40.731175, -124.203996)"
010000062,Sherwood Oaks Health Center,130 Dana St,Fort Bragg,MENDOCINO,95437,Skilled Nursing Facility,79,39.441174,-123.788595,"(39.441174, -123.788595)"
010000065,Sonoma Acres,765 Donald St,Sonoma,SONOMA,95476,Skilled Nursing Facility,32,38.304106,-122.468469,"(38.304106, -122.468469)"
010000066,Sonoma Healthcare Center,1250 Broadway,Sonoma,SONOMA,95476,Skilled Nursing Facility,144,38.278533,-122.459809,"(38.278533, -122.459809)"
010000075,St Luke Healthcare And Rehabilitation Center,2321 Newburg Rd,Fortuna,HUMBOLDT,95540,Skilled Nursing Facility,104,40.590258,-124.141344,"(40.590258, -124.141344)"
010000076,Summerfield Healthcare Center,1280 Summerfield Rd,Santa Rosa,SONOMA,95405,Skilled Nursing Facility,70,38.445332,-122.664467,"(38.445332, -122.664467)"
010000078,Eureka Healthcare And Rehabilitation Center,2353 23rd St,Eureka,HUMBOLDT,95501,Skilled Nursing Facility,99,40.786915,-124.142091,"(40.786915, -124.142091)"
010000079,The Oaks,450 Hayes Ln,Petaluma,SONOMA,94952,Skilled Nursing Facility,59,38.221984,-122.648942,"(38.221984, -122.648942)"
010000080,Ukiah Healthcare Center,1349 S Dora St,Ukiah,MENDOCINO,95482,Skilled Nursing Facility,54,39.130181,-123.208712,"(39.130181, -123.208712)"
010000082,Horizon West - Ukiah,1162 S Dora St,Ukiah,MENDOCINO,95482,Skilled Nursing Facility,68,39.135226,-123.209511,"(39.135226, -123.209511)"
010000086,Bayberry House,400 Aguirre Way,Napa,NAPA,94559,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.29613,-122.271171,"(38.29613, -122.271171)"
010000087,Butler Valley,380 12th St,Arcata,HUMBOLDT,95521,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,40.870505,-124.081445,"(40.870505, -124.081445)"
010000088,Butler Valley #2,3971 F St,Eureka,HUMBOLDT,95503,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,40.770028,-124.163653,"(40.770028, -124.163653)"
010000089,New Haven,100 Sawyer St,Vallejo,SOLANO,94589,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.142162,-122.230208,"(38.142162, -122.230208)"
010000096,Kaiser Foundation Hospital Home Health -vallejo,1761 Broadway St,Vallejo,SOLANO,94589,Home Health Agency,0,38.130875,-122.252354,"(38.130875, -122.252354)"
010000098,St Helena Hospital Home Care Services-adventist Health,27 Woodland Rd,Saint Helena,NAPA,94574,Home Health Agency,0,38.539803,-122.473409,"(38.539803, -122.473409)"
010000140,Gentiva Health Services,1260 N Dutton Ave,Santa Rosa,SONOMA,95401,Home Health Agency,0,38.44885,-122.732569,"(38.44885, -122.732569)"
010000148,Sutter Visiting Nurse Association And Hospice,889 11th St,Lakeport,LAKE,95453,Home Health Agency,0,39.049004,-122.922443,"(39.049004, -122.922443)"
010000149,St Joseph Home Care - Queen Of The Valley,980 Trancas St,Napa,NAPA,94558,Home Health Agency,0,38.323724,-122.295114,"(38.323724, -122.295114)"
010000150,St Helena Hospital Home Care Services In Lake County - Adventist Health,9245 HIGHWAY 53,LOWER LAKE,LAKE,95457,Home Health Agency,0,38.916517,-122.612201,"(38.916517, -122.612201)"
010000152,Mad River Community Hospital Home Care Service,4605 Valley West Blvd,Arcata,HUMBOLDT,95521,Home Health Agency,0,40.900454,-124.082988,"(40.900454, -124.082988)"
010000156,Northbay Health At Home,5140 Business Center Dr,Fairfield,SOLANO,94534,Home Health Agency,0,38.216341,-122.145218,"(38.216341, -122.145218)"
010000158,St Joseph Home Care -  Humboldt County,721 E St,Eureka,HUMBOLDT,95501,Home Health Agency,0,40.799913,-124.166603,"(40.799913, -124.166603)"
010000160,Milestones Of Development #1,150 Hillview Dr,Vallejo,SOLANO,94591,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.116091,-122.205172,"(38.116091, -122.205172)"
010000161,Milestones Of Development #2,136 Ron Ct,Vallejo,SOLANO,94591,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.113311,-122.206372,"(38.113311, -122.206372)"
010000162,Milestones Of Development #3,178 Sunrise Way,Vallejo,SOLANO,94591,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.114293,-122.202967,"(38.114293, -122.202967)"
010000163,Milestones Of Development #4,132 Terrybrook Ln,Vallejo,SOLANO,94591,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.11403,-122.210595,"(38.11403, -122.210595)"
010000164,Milestones Of Development #5,200 Lytham Way,Vallejo,SOLANO,94591,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.115151,-122.200882,"(38.115151, -122.200882)"
010000169,Mendocino Coast District Hospital Home Health Services,700 River Dr,Fort Bragg,MENDOCINO,95437,Home Health Agency,0,39.431933,-123.800841,"(39.431933, -123.800841)"
010000208,Spring Lake Village,5555 Montgomery Dr,Santa Rosa,SONOMA,95409,Skilled Nursing Facility,70,38.457554,-122.643567,"(38.457554, -122.643567)"
010000338,Redwood Valley,7501 Uva Dr,Redwood Valley,MENDOCINO,95470,Intermediate Care Facility/Developmentally Disabled - Nursing,6,39.250828,-123.216335,"(39.250828, -123.216335)"
010000394,Bennett Valley ICF/DD-H,2416 Cactus Ave,Santa Rosa,SONOMA,95405,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.425458,-122.672252,"(38.425458, -122.672252)"
010000427,Adults In Community Transition,4795 Gaddy Ln,Kelseyville,LAKE,95451,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.985281,-122.828918,"(38.985281, -122.828918)"
010000428,Lakeview House,1116 W Perkins St,Ukiah,MENDOCINO,95482,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,39.148242,-123.218729,"(39.148242, -123.218729)"
010000431,Petaluma ICF/DD-H,805 Petaluma Ave,Sonoma,SONOMA,95476,Intermediate Care Facility/Developmentally Disabled - Habilitative,8,38.291935,-122.484899,"(38.291935, -122.484899)"
010000465,Sonoma Valley Hospital Home Care Program,1151 Broadway,Sonoma,SONOMA,95476,Home Health Agency,0,38.280117,-122.459742,"(38.280117, -122.459742)"
010000469,TLC - Lombard,804 Lombard Way,Rohnert Park,SONOMA,94928,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.328681,-122.692869,"(38.328681, -122.692869)"
010000480,Velma House,1450 Velma Ave,Santa Rosa,SONOMA,95403,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.452271,-122.766058,"(38.452271, -122.766058)"
010000481,Redwood House,5028 Old Redwood Hwy,Santa Rosa,SONOMA,95403,Intermediate Care Facility/Developmentally Disabled - Nursing,6,38.505393,-122.758849,"(38.505393, -122.758849)"
010000487,Mayette House,4347 Mayette Ave,Santa Rosa,SONOMA,95405,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.443138,-122.667899,"(38.443138, -122.667899)"
010000557,Your Home Nursing Services,3188 Jefferson St,Napa,NAPA,94558,Home Health Agency,0,38.319124,-122.298794,"(38.319124, -122.298794)"
010000572,Victoria Drive House,2793 Victoria Dr,Santa Rosa,SONOMA,95407,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.409238,-122.721996,"(38.409238, -122.721996)"
010000585,Fifty-o-one Parkhurst,5001 Parkhurst Dr,Santa Rosa,SONOMA,95409,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.475921,-122.661078,"(38.475921, -122.661078)"
010000587,Home Health Care,4983 Sonoma Hwy,Santa Rosa,SONOMA,95409,Home Health Agency,0,38.464301,-122.66335,"(38.464301, -122.66335)"
010000596,Roberts Road House,2275 Roberts Rd,Penngrove,SONOMA,94951,Intermediate Care Facility/Developmentally Disabled - Habilitative,11,38.328902,-122.662551,"(38.328902, -122.662551)"
010000597,Cooper House,1904 Cooper Dr,Santa Rosa,SONOMA,95404,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.431162,-122.691663,"(38.431162, -122.691663)"
010000598,Sacramento House,4044 Sacramento Ave,Santa Rosa,SONOMA,95405,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.436458,-122.668042,"(38.436458, -122.668042)"
010000620,Mustard Seed,200 Peach Tree Ave,Vacaville,SOLANO,95688,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.355494,-121.995608,"(38.355494, -121.995608)"
010000622,Saratoga House,3912 Stover St,Napa,NAPA,94558,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.33552,-122.30455,"(38.33552, -122.30455)"
010000643,Pathways,1152 Hickory Ave,Fairfield,SOLANO,94533,Intermediate Care Facility/Developmentally Disabled - Nursing,6,38.286677,-122.011143,"(38.286677, -122.011143)"
010000646,Genevie Dream Home,17355 Buena Vista Ave,Sonoma,SONOMA,95476,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.321874,-122.48148,"(38.321874, -122.48148)"
010000652,Kaiser Foundation Hospital Home Health-santa Rosa,3550 Round Barn Blvd,Santa Rosa,SONOMA,95403,Home Health Agency,0,38.475899,-122.726216,"(38.475899, -122.726216)"
010000654,Adventist Health Home Care & Hospice Svcs -mendo Cty,100 San Hedrin Cir,Willits,MENDOCINO,95490,Home Health Agency,0,39.390632,-123.338269,"(39.390632, -123.338269)"
010000657,Estes House,4740 Badger Rd,Santa Rosa,SONOMA,95409,Intermediate Care Facility/Developmentally Disabled - Nursing,6,38.482189,-122.668913,"(38.482189, -122.668913)"
010000659,Sutter Coast Home Care,983 3rd St,Crescent City,DEL NORTE,95531,Home Health Agency,0,41.75301,-124.196315,"(41.75301, -124.196315)"
010000673,Douglas House,3825 Douglas Dr,Santa Rosa,SONOMA,95405,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.437414,-122.672861,"(38.437414, -122.672861)"
010000679,Grand Chalet,328 Kimberly Dr,American Canyon, ,94503,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.158729,-122.258522,"(38.158729, -122.258522)"
010000684,St Joseph Home Care - Greater Sonoma County,151 Sotoyome St,Santa Rosa,SONOMA,95405,Home Health Agency,0,38.441988,-122.701356,"(38.441988, -122.701356)"
010000703,Baird House,920 Baird Rd,Santa Rosa,SONOMA,95409,Intermediate Care Facility/Developmentally Disabled - Nursing,6,38.478693,-122.667552,"(38.478693, -122.667552)"
010000743,TLC On Garmont,1304 Garmont Ct,Rohnert Park,SONOMA,94928,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.369192,-122.685132,"(38.369192, -122.685132)"
010000765,Hope House,6996 Leisure Town Rd,Vacaville,SOLANO,95688,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.399871,-121.933719,"(38.399871, -121.933719)"
010000782,Paradise Home Doncaster,312 Doncaster Dr,Vallejo,SOLANO,94591,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.124907,-122.214477,"(38.124907, -122.214477)"
010000792,Crossroads,1250 Woodman Way,Dixon,SOLANO,95620,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.458114,-121.834427,"(38.458114, -121.834427)"
010000793,Pathways 2,1132 Gulf Dr,Fairfield,SOLANO,94533,Intermediate Care Facility/Developmentally Disabled - Nursing,6,38.284482,-122.011737,"(38.284482, -122.011737)"
010000799,My Home,1639 Manzanita Ave,Santa Rosa,SONOMA,95404,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.467734,-122.683654,"(38.467734, -122.683654)"
010000801,Danny's Place,6133 Old Redwood Hwy,Santa Rosa,SONOMA,95403,Intermediate Care Facility/Developmentally Disabled - Nursing,6,38.530535,-122.782721,"(38.530535, -122.782721)"
010000822,Badger Creek,4520 Badger Rd,Santa Rosa,SONOMA,95409,Intermediate Care Facility/Developmentally Disabled - Nursing,6,38.482142,-122.676826,"(38.482142, -122.676826)"
010000834,Calistoga House,5302 Badger Rd,Santa Rosa,SONOMA,95409,Intermediate Care Facility/Developmentally Disabled - Nursing,6,38.483733,-122.659435,"(38.483733, -122.659435)"
010000860,Greenfields I ICF/DD-N,219 Torrey Pines Ct,Vallejo,SOLANO,94591,Intermediate Care Facility/Developmentally Disabled - Nursing,6,38.117408,-122.198179,"(38.117408, -122.198179)"
010000862,TLC - Larch,8470 Larch Ave,Cotati,SONOMA,94931,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.32537,-122.699548,"(38.32537, -122.699548)"
010000864,Crossroads II,880 Alexander Dr,Dixon,SOLANO,95620,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.461778,-121.834077,"(38.461778, -121.834077)"
010000885,Pacific Medical Resources,1102 S Main St,Fort Bragg,MENDOCINO,95437,Home Health Agency,0,39.425439,-123.807166,"(39.425439, -123.807166)"
010000907,Greenfields II ICF/DD-N,2673 Vista Bonita,Fairfield,SOLANO,94534,Intermediate Care Facility/Developmentally Disabled - Nursing,6,38.270657,-122.058692,"(38.270657, -122.058692)"
010000923,At Home Nursing Services,1378 Corporate Cntr Pkwy,Santa Rosa,SONOMA,95407,Home Health Agency,0,38.417679,-122.753629,"(38.417679, -122.753629)"
010000936,Fifth Avenue Health Care Center,1601 5th Ave,San Rafael,MARIN,94901,Skilled Nursing Facility,54,37.974863,-122.535363,"(37.974863, -122.535363)"
010000938,Greenbrae Care Center,1220 S Eliseo Dr,Greenbrae,MARIN,94904,Skilled Nursing Facility,72,37.94405,-122.535777,"(37.94405, -122.535777)"
010000940,Country Villa Novato Healthcare Center,1565 Hill Rd,Novato,MARIN,94947,Skilled Nursing Facility,181,38.096476,-122.576049,"(38.096476, -122.576049)"
010000949,Pine Ridge Care Center,45 Professional Center Pkwy,San Rafael,MARIN,94903,Skilled Nursing Facility,101,38.009892,-122.539731,"(38.009892, -122.539731)"
010000951,Marin Convalescent & Rehabilitation Hospital,30 Hacienda Dr,Belvedere Tiburon,MARIN,94920,Skilled Nursing Facility,56,37.901105,-122.480518,"(37.901105, -122.480518)"
010000956,Sutter Visiting Nurse Association,100 Rowland Way,Novato,MARIN,94945,Home Health Agency,0,38.097018,-122.558737,"(38.097018, -122.558737)"
010000959,Rafael Convalescent Hospital,234 N San Pedro Rd,San Rafael,MARIN,94903,Skilled Nursing Facility,168,38.002945,-122.521331,"(38.002945, -122.521331)"
010000966,Hospice By The Bay,17 E Sir Francis Drake Blvd,Larkspur,MARIN,94939,Home Health Agency,0,37.945283,-122.512625,"(37.945283, -122.512625)"
010000967,Hospice By The Bay- Branch,190 W Napa St,Sonoma,SONOMA,95476,Home Health Agency,0,38.292239,-122.46077,"(38.292239, -122.46077)"
010000968,Country Villa San Rafael Healthcare Center,81 Professional Center Pkwy,San Rafael,MARIN,94903,Skilled Nursing Facility,99,38.009918,-122.538583,"(38.009918, -122.538583)"
010000970,Devon Drive Home,363 Devon Dr,San Rafael,MARIN,94903,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,37.99683,-122.54932,"(37.99683, -122.54932)"
010000972,Adrian Way Home,306 Adrian Way,San Rafael,MARIN,94903,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.010608,-122.519625,"(38.010608, -122.519625)"
010000974,Sunrise I,627 Wilson Ave,Novato,MARIN,94947,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.102234,-122.597762,"(38.102234, -122.597762)"
010000976,Sunrise II,48 Golden Hinde Blvd,San Rafael,MARIN,94903,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,37.997011,-122.543541,"(37.997011, -122.543541)"
010000980,Northgate Care Center,40 Professional Center Pkwy,San Rafael,MARIN,94903,Skilled Nursing Facility,54,38.009783,-122.538016,"(38.009783, -122.538016)"
010000985,The Tamalpais,501 Via Casitas,Greenbrae,MARIN,94904,Skilled Nursing Facility,52,37.945991,-122.532496,"(37.945991, -122.532496)"
010000995,Villa Marin Retirement Residences,100 Thorndale Dr,San Rafael,MARIN,94903,Skilled Nursing Facility,31,38.003939,-122.548901,"(38.003939, -122.548901)"
010000998,Able,25 De Anza Way,San Rafael,MARIN,94903,Intermediate Care Facility/Developmentally Disabled - Habilitative,10,37.995646,-122.544763,"(37.995646, -122.544763)"
010001001,Miles - Center Road House,1649 Center Rd,Novato,MARIN,94947,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.101944,-122.578965,"(38.101944, -122.578965)"
010001004,Kaiser Foundation Hospital Home Health-novato,7200 Redwood Blvd,Novato,MARIN,94945,Home Health Agency,0,38.102676,-122.569851,"(38.102676, -122.569851)"
010001005,Aldersly Skilled Nursing Facility,326 Mission Ave,San Rafael,MARIN,94901,Skilled Nursing Facility,20,37.972696,-122.516672,"(37.972696, -122.516672)"
010001007,The Redwoods,40 Camino Alto,Mill Valley,MARIN,94941,Skilled Nursing Facility,58,37.894031,-122.529901,"(37.894031, -122.529901)"
010001011,Rae Lane House,858 Rae Ln,Novato,MARIN,94947,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.112811,-122.601061,"(38.112811, -122.601061)"
010001031,Stonehaven,2 Stonehaven Ct,Novato,MARIN,94947,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.112407,-122.607982,"(38.112407, -122.607982)"
010001033,Nova House,393 Nova Albion Way,San Rafael,MARIN,94903,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,37.99851,-122.548606,"(37.99851, -122.548606)"
010001037,Smith Ranch Care Center,1550 Silveira Pkwy,San Rafael,MARIN,94903,Skilled Nursing Facility,80,38.020009,-122.525669,"(38.020009, -122.525669)"
010001047,Heart Of Humanity Health Services,1400 Grant Ave,Novato,MARIN,94945,Home Health Agency,0,38.108578,-122.575099,"(38.108578, -122.575099)"
010001124,Monte Verde,5715 Monte Verde Dr,Santa Rosa,SONOMA,95409,Intermediate Care Facility/Developmentally Disabled - Nursing,6,38.470582,-122.643429,"(38.470582, -122.643429)"
010001128,Caremeridian,2390 Sir Francis Drake Blvd,Fairfax,MARIN,94930,Congregate Living Health Facility,12,37.994856,-122.595207,"(37.994856, -122.595207)"
010001139,Greenfields III ICF/DD-N,100 Morgan Ct,Vallejo,SOLANO,94591,Intermediate Care Facility/Developmentally Disabled - Nursing,6,38.129155,-122.219113,"(38.129155, -122.219113)"
010001140,Emeritus At Santa Rosa,300 Fountaingrove Pkwy,Santa Rosa,SONOMA,95403,Skilled Nursing Facility,45,38.475623,-122.723037,"(38.475623, -122.723037)"
010001142,Maxim Healthcare Services,1260 N Dutton Ave,Santa Rosa,SONOMA,95401,Home Health Agency,0,38.44885,-122.732569,"(38.44885, -122.732569)"
010001143,Paradise Valley ICF/DD-H,3313 El Pinole Way,Fairfield,SOLANO,94533,Intermediate Care Facility/Developmentally Disabled - Habilitative,6,38.289724,-122.025844,"(38.289724, -122.025844)"
010001148,Sutter Visiting Nurse Association And Hospice,110 Stony Point Rd,Santa Rosa,SONOMA,95401,Home Health Agency,0,38.440959,-122.745602,"(38.440959, -122.745602)"
010001150,East Bay Home Health Services,1710 Pennsylvania Ave,Fairfield,SOLANO,94533,Home Health Agency,0,38.260428,-122.049851,"(38.260428, -122.049851)"
020000004,Wisteria Care Center,20524 Wisteria St,Castro Valley,ALAMEDA,94546,Skilled Nursing Facility,23,37.696084,-122.085213,"(37.696084, -122.085213)"
020000005,St Anthony Care Center,553 Smalley Ave,Hayward,ALAMEDA,94541,Skilled Nursing Facility,30,37.671397,-122.091928,"(37.671397, -122.091928)"
020000010,Ashby Care Center,2270 Ashby Ave,Berkeley,ALAMEDA,94705,Skilled Nursing Facility,31,37.855877,-122.261803,"(37.855877, -122.261803)"
020000015,Bancroft Convalescent Hospital,1475 Bancroft Ave,San Leandro,ALAMEDA,94577,Skilled Nursing Facility,36,37.725656,-122.147248,"(37.725656, -122.147248)"
020000019,Hilltop Care Center,3269 D St,Hayward,ALAMEDA,94541,Skilled Nursing Facility,71,37.68006,-122.047938,"(37.68006, -122.047938)"
020000020,Windsor Country Drive Care Center,2500 Country Dr,Fremont,ALAMEDA,94536,Skilled Nursing Facility,126,37.557687,-121.984767,"(37.557687, -121.984767)"
020000026,Bay View Nursing And Rehabilitation Center,516 Willow St,Alameda,ALAMEDA,94501,Skilled Nursing Facility,170,37.76049,-122.25484,"(37.76049, -122.25484)"
020000028,Berkeley Pines Care Center,2223 Ashby Ave,Berkeley,ALAMEDA,94705,Skilled Nursing Facility,36,37.855823,-122.26263,"(37.855823, -122.26263)"
020000029,Bethesda Home,22427 Montgomery St,Hayward,ALAMEDA,94541,Skilled Nursing Facility,40,37.672355,-122.088273,"(37.672355, -122.088273)"
020000036,Windsor Park Care Center Of Fremont,2400 Parkside Dr,Fremont,ALAMEDA,94536,Skilled Nursing Facility,85,37.559402,-121.981898,"(37.559402, -121.981898)"
020000037,Gateway Care & Rehabilitation Center,26660 Patrick Ave,Hayward,ALAMEDA,94544,Skilled Nursing Facility,99,37.640163,-122.080788,"(37.640163, -122.080788)"
020000039,Hayward Healthcare & Wellness Center,1805 West St,Hayward,ALAMEDA,94545,Skilled Nursing Facility,99,37.644911,-122.116039,"(37.644911, -122.116039)"
020000040,Masonic Home,34400 Mission Blvd,Union City,ALAMEDA,94587,Skilled Nursing Facility,125,37.597523,-122.010195,"(37.597523, -122.010195)"
020000042,Kaiser Permanente Post Acute Care Center,1440 168th Ave,San Leandro,ALAMEDA,94578,Skilled Nursing Facility,176,37.692849,-122.106775,"(37.692849, -122.106775)"
020000043,Alameda Healthcare & Wellness Center,430 Willow St,Alameda,ALAMEDA,94501,Skilled Nursing Facility,166,37.758789,-122.255491,"(37.758789, -122.255491)"
020000046,Park Merritt Intermediate Care,525 E 18th St,Oakland,ALAMEDA,94606,Intermediate Care Facility,24,37.798014,-122.249775,"(37.798014, -122.249775)"
020000047,Hayward Hills Health Care Center,1768 B St,Hayward,ALAMEDA,94541,Skilled Nursing Facility,74,37.680997,-122.068775,"(37.680997, -122.068775)"
020000048,Chaparral House,1309 Allston Way,Berkeley,ALAMEDA,94702,Skilled Nursing Facility,49,37.866907,-122.285658,"(37.866907, -122.285658)"
020000053,Crestwood Manor - Fremont,4303 Stevenson Blvd,Fremont,ALAMEDA,94538,Skilled Nursing Facility,126,37.537185,-121.976318,"(37.537185, -121.976318)"
020000054,Willow Tree Nursing Center,2124 57th Ave,Oakland,ALAMEDA,94621,Skilled Nursing Facility,82,37.77004,-122.196022,"(37.77004, -122.196022)"
020000060,Bay Point Healthcare Center,442 Sunset Blvd,Hayward,ALAMEDA,94541,Skilled Nursing Facility,99,37.674458,-122.096927,"(37.674458, -122.096927)"
020000064,St Pauls Towers,100 Bay Pl,Oakland,ALAMEDA,94610,Skilled Nursing Facility,43,37.81137,-122.260484,"(37.81137, -122.260484)"
020000065,Hayward Springs Care Center,21863 Vallejo St,Hayward,ALAMEDA,94541,Skilled Nursing Facility,36,37.67671,-122.094056,"(37.67671, -122.094056)"
020000066,Valley Pointe Nursing & Rehabilitation Center,20090 Stanton Ave,Castro Valley,ALAMEDA,94546,Skilled Nursing Facility,50,37.697497,-122.091036,"(37.697497, -122.091036)"
020000068,St John Kronstadt Convalescent Center,4432 James Ave,Castro Valley,ALAMEDA,94546,Skilled Nursing Facility,49,37.706647,-122.069844,"(37.706647, -122.069844)"
020000070,All Saints Subacute And Rehabilitation Center,1652 Mono Ave,San Leandro,ALAMEDA,94578,Skilled Nursing Facility,70,37.70458,-122.119708,"(37.70458, -122.119708)"
020000071,Windsor Post Acute Care Center Of Hayward,25919 Gading Rd,Hayward,ALAMEDA,94544,Skilled Nursing Facility,99,37.647148,-122.081203,"(37.647148, -122.081203)"
020000074,St Christopher Convalescent Hospital,22822 Myrtle St,Hayward,ALAMEDA,94541,Skilled Nursing Facility,36,37.665689,-122.091363,"(37.665689, -122.091363)"
020000076,St Francis Extended Care,718 Bartlett Ave,Hayward,ALAMEDA,94541,Skilled Nursing Facility,62,37.669462,-122.118093,"(37.669462, -122.118093)"
020000077,San Leandro Healthcare Center,368 Juana Ave,San Leandro,ALAMEDA,94577,Skilled Nursing Facility,62,37.724196,-122.151552,"(37.724196, -122.151552)"
020000079,Medical Hill Rehabilitation Center,475 29th St,Oakland,ALAMEDA,94609,Skilled Nursing Facility,124,37.81796,-122.266285,"(37.81796, -122.266285)"
020000087,Crown Bay Nursing & Rehabilitation Center,508 Westline Dr,Alameda,ALAMEDA,94501,Skilled Nursing Facility,135,37.765219,-122.271489,"(37.765219, -122.271489)"
