"iso_a3","region","income_group"
"MRT","Sub-Saharan Africa","Lower middle income"
"MUS","Sub-Saharan Africa","Upper middle income"
"MWI","Sub-Saharan Africa","Low income"
"MYS","East Asia & Pacific","Upper middle income"
"NAM","Sub-Saharan Africa","Upper middle income"
"NCL","East Asia & Pacific","High income"
"NER","Sub-Saharan Africa","Low income"
"NGA","Sub-Saharan Africa","Lower middle income"
"NIC","Latin America & Caribbean","Lower middle income"
"NLD","Europe & Central Asia","High income"
"NOR","Europe & Central Asia","High income"
"NPL","South Asia","Low income"
"NZL","East Asia & Pacific","High income"
"OMN","Middle East & North Africa","High income"
"PAK","South Asia","Lower middle income"
"PAN","Latin America & Caribbean","Upper middle income"
"PER","Latin America & Caribbean","Upper middle income"
"PHL","East Asia & Pacific","Lower middle income"
"PLW","East Asia & Pacific","Upper middle income"
"PNG","East Asia & Pacific","Lower middle income"
"POL","Europe & Central Asia","High income"
"PRI","Latin America & Caribbean","High income"
"PRK","East Asia & Pacific","Low income"
"PRT","Europe & Central Asia","High income"
"PRY","Latin America & Caribbean","Lower middle income"
"PYF","East Asia & Pacific","High income"
"QAT","Middle East & North Africa","High income"
"ROU","Europe & Central Asia","Upper middle income"
"RUS","Europe & Central Asia","High income"
"RWA","Sub-Saharan Africa","Low income"
"SAU","Middle East & North Africa","High income"
"SDN","Sub-Saharan Africa","Lower middle income"
"SEN","Sub-Saharan Africa","Lower middle income"
"SGP","East Asia & Pacific","High income"
"SLB","East Asia & Pacific","Lower middle income"
"SLE","Sub-Saharan Africa","Low income"
"SLV","Latin America & Caribbean","Lower middle income"
"SMR","Europe & Central Asia","High income"
"SOM","Sub-Saharan Africa","Low income"
"SRB","Europe & Central Asia","Upper middle income"
"SSD","Sub-Saharan Africa","Lower middle income"
"STP","Sub-Saharan Africa","Lower middle income"
"SUR","Latin America & Caribbean","Upper middle income"
"SVK","Europe & Central Asia","High income"
"SVN","Europe & Central Asia","High income"
"SWE","Europe & Central Asia","High income"
"SWZ","Sub-Saharan Africa","Lower middle income"
"SXM","Latin America & Caribbean","High income"
"SYC","Sub-Saharan Africa","Upper middle income"
"SYR","Middle East & North Africa","Lower middle income"
"TCA","Latin America & Caribbean","High income"
"TCD","Sub-Saharan Africa","Low income"
"TGO","Sub-Saharan Africa","Low income"
"THA","East Asia & Pacific","Upper middle income"
"TJK","Europe & Central Asia","Low income"
"TKM","Europe & Central Asia","Upper middle income"
"TMP","East Asia & Pacific","Lower middle income"
"TON","East Asia & Pacific","Upper middle income"
"TTO","Latin America & Caribbean","High income"
"TUN","Middle East & North Africa","Upper middle income"
"TUR","Europe & Central Asia","Upper middle income"
"TUV","East Asia & Pacific","Upper middle income"
"TWN","East Asia & Pacific","High income"
"TZA","Sub-Saharan Africa","Low income"
"UGA","Sub-Saharan Africa","Low income"
"UKR","Europe & Central Asia","Lower middle income"
"URY","Latin America & Caribbean","High income"
"USA","North America","High income"
"UZB","Europe & Central Asia","Lower middle income"
"VCT","Latin America & Caribbean","Upper middle income"
"VEN","Latin America & Caribbean","Upper middle income"
"VIR","Latin America & Caribbean","High income"
"VNM","East Asia & Pacific","Lower middle income"
"VUT","East Asia & Pacific","Lower middle income"
"WBG","Middle East & North Africa","Lower middle income"
"WSM","East Asia & Pacific","Lower middle income"
"YEM","Middle East & North Africa","Lower middle income"
"ZAF","Sub-Saharan Africa","Upper middle income"
"ZMB","Sub-Saharan Africa","Lower middle income"
"ZWE","Sub-Saharan Africa","Low income"
